ServerLevel	Profession	Sprite
服务器等级	职业	精灵（id=level）
32	1	3402=27|3404=27|3405=27
32	2	3402=27|3404=27|3405=27
32	3	3402=27|3404=27|3405=27
32	4	3402=27|3404=27|3405=27
32	5	3402=27|3404=27|3405=27
32	6	3402=27|3404=27|3405=27
32	7	3402=27|3404=27|3405=27
40	1	3402=25|3404=25|3405=25|3408=25
40	2	3402=25|3404=25|3405=25|3408=25
40	3	3402=25|3404=25|3405=25|3408=25
40	4	3402=25|3404=25|3405=25|3408=25
40	5	3402=25|3404=25|3405=25|3408=25
40	6	3402=25|3404=25|3405=25|3408=25
40	7	3402=25|3404=25|3405=25|3408=25
50	1	3402=45|3404=45|3405=45|3408=45
50	2	3402=45|3404=45|3405=45|3408=45
50	3	3402=45|3404=45|3405=45|3408=45
50	4	3402=45|3404=45|3405=45|3408=45
50	5	3402=45|3404=45|3405=45|3408=45
50	6	3402=45|3404=45|3405=45|3408=45
50	7	3402=45|3404=45|3405=45|3408=45
63	1	3402=55|3404=55|3501=55|3408=55
63	2	3402=55|3404=55|3501=55|3408=55
63	3	3402=55|3404=55|3501=55|3408=55
63	4	3402=55|3404=55|3501=55|3408=55
63	5	3402=55|3404=55|3501=55|3408=55
63	6	3402=55|3404=55|3501=55|3408=55
63	7	3402=55|3404=55|3501=55|3408=55
70	1	3402=55|3404=55|3405=55|3408=55
70	2	3402=55|3404=55|3405=55|3408=55
70	3	3402=55|3404=55|3405=55|3408=55
70	4	3402=55|3404=55|3405=55|3408=55
70	5	3402=55|3404=55|3405=55|3408=55
70	6	3402=55|3404=55|3405=55|3408=55
70	7	3402=55|3404=55|3405=55|3408=55
80	1	3402=60|3404=60|3405=60|3408=60
80	2	3402=60|3404=60|3405=60|3408=60
80	3	3402=60|3404=60|3405=60|3408=60
80	4	3402=60|3404=60|3405=60|3408=60
80	5	3402=60|3404=60|3405=60|3408=60
80	6	3402=60|3404=60|3405=60|3408=60
80	7	3402=60|3404=60|3405=60|3408=60
90	1	3402=65|3404=65|3405=65|3408=65
90	2	3402=65|3404=65|3405=65|3408=65
90	3	3402=65|3404=65|3405=65|3408=65
90	4	3402=65|3404=65|3405=65|3408=65
90	5	3402=65|3404=65|3405=65|3408=65
90	6	3402=65|3404=65|3405=65|3408=65
90	7	3402=65|3404=65|3405=65|3408=65
