0	0	0	0	
0.03333	-0.117223	3.25E-07	0	
0.06666	-0.243321	-0.000547025	0.278479	
0.09999	-0.373463	-0.00121017	0.553675	
0.13332	-0.496718	-0.00180201	0.714803	
0.16665	-0.60215	-0.00213544	0.820146	
0.19998	-0.69401	-0.00225065	0.878578	
0.23331	-0.783784	-0.00231743	0.929041	
0.26664	-0.871394	-0.00234309	0.972141	
0.29997	-0.956762	-0.00233495	1.00849	
0.3333	-1.03981	-0.00230032	1.03868	
0.36663	-1.12046	-0.00224651	1.06334	
0.39996	-1.19863	-0.00218084	1.08306	
0.43329	-1.27424	-0.00211062	1.09845	
0.46662	-1.34723	-0.00204317	1.11013	
0.49995	-1.4175	-0.00198579	1.11869	
0.53328	-1.48446	-0.00192945	1.12339	
0.56661	-1.54788	-0.00186152	1.12319	
0.59994	-1.60818	-0.00178397	1.11824	
0.63327	-1.66581	-0.00169879	1.10871	
0.6666	-1.7212	-0.00160793	1.09475	
0.69993	-1.77479	-0.00151337	1.07654	
0.73326	-1.82702	-0.00141707	1.05423	
0.76659	-1.87832	-0.00132102	1.02798	
0.79992	-1.92913	-0.00122717	0.997954	
0.83325	-1.97989	-0.0011375	0.964317	
0.86658	-2.02941	-0.00104955	0.926397	
0.89991	-2.07658	-0.000959928	0.883654	
0.93324	-2.12194	-0.000869161	0.836444	
0.96657	-2.16605	-0.000777795	0.785125	
0.9999	-2.20945	-0.00068637	0.730053	
1.03323	-2.2527	-0.000595429	0.671586	
1.06656	-2.29634	-0.000505513	0.61008	
1.09989	-2.34092	-0.000417163	0.545892	
1.13322	-2.38699	-0.00033092	0.479379	
1.16655	-2.43509	-0.000247326	0.410898	
1.19988	-2.48977	-0.000166713	0.316299	
1.23321	-2.55119	-9.29E-05	0.193195	
1.26654	-2.61335	-3.15E-05	0.0745865	
1.29987	-2.67025	1.17E-05	0.0196339	
1.3332	-2.71967	2.97E-05	0.00191969	
1.36653	-2.76502	2.74E-05	-0.000461441	
1.39986	-2.80874	1.69E-05	-5.77E-05	
1.43319	-2.85328	1.05E-05	0	
